Target,Actual,Predicted,Residual
Lp,78.1,78.1371,-0.0371
Lp,78.2,78.1371,0.0629
Lp,78.3,78.1371,0.1629
Lp,78.1,78.1371,-0.0371
Lp,77.9,78.1371,-0.2371
Lp,78.5,78.2828,0.2172
Lp,78.4,78.4125,-0.0125
Lp,79.9,79.4615,0.4385
Lp,79.5,79.4583,0.0417
Lp,79.5,79.4503,0.0497
Lp,79.5,79.4503,0.0497
Lp,79.6,79.554,0.046
Lp,79.5,79.508,-0.008
Lp,79.8,79.5116,0.2884
Lp,79.6,79.516,0.084
Lp,79.8,79.4868,0.3132
Lp,79.7,79.5066,0.1934
Lp,79.8,79.5032,0.2968
Lp,79.6,79.5066,0.0934
Lp,79.8,79.4458,0.3542
Lp,79.9,79.085,0.815
Lp,79.4,79.4873,-0.0873
Lp,79.3,79.4873,-0.1873
Lp,79.8,79.4615,0.3385
Lp,79.3,79.486,-0.186
Lp,79.7,79.5116,0.1884
Lp,79.3,79.5724,-0.2724
Lp,79.5,79.516,-0.016
Lp,79.8,79.5188,0.2812
Lp,79.5,79.5116,-0.0116
Lp,79.2,79.5704,-0.3704
Lp,79.5,79.5116,-0.0116
Lp,79.4,79.5116,-0.1116
Lp,79.6,79.516,0.084
Lp,79.6,79.5116,0.0884
Lp,79.5,79.1744,0.3256
Lp,79.6,79.5753,0.0247
Lp,79.6,79.4503,0.1497
Lp,79.8,79.4503,0.3497
Lp,79.9,79.4503,0.4497
Lp,80.6,80.5836,0.0164
Lp,81.2,81.1567,0.0433
Lp,81.3,80.9519,0.3481
Lp,80.4,80.5844,-0.1844
Lp,81.3,81.1567,0.1433
Lp,80.7,80.7764,-0.0764
Lp,80.6,80.5844,0.0156
Lp,80.8,80.6813,0.1187
Lp,81.2,81.1235,0.0765
Lp,81.0,80.9519,0.0481
Lp,81.1,80.9519,0.1481
Lp,80.5,80.5844,-0.0844
Lp,80.8,80.5648,0.2352
Lp,80.8,80.9133,-0.1133
Lp,80.9,80.9504,-0.0504
Lp,80.7,80.6813,0.0187
Lp,81.0,80.9504,0.0496
Lp,80.8,80.5826,0.2174
Lp,81.0,80.5844,0.4156
Lp,81.3,81.1235,0.1765
Lp,81.7,80.9519,0.7481
Lp,80.7,80.5844,0.1156
Lp,81.2,80.5648,0.6352
Lp,81.0,80.5844,0.4156
Lp,81.2,80.5604,0.6396
Lp,81.0,80.6222,0.3778
Lp,80.7,80.6222,0.0778
Lp,80.8,80.6222,0.1778
Lp,80.8,80.5611,0.2389
Lp,81.0,80.6226,0.3774
Lp,81.1,80.6198,0.4802
Lp,81.5,80.6222,0.8778
Lp,81.1,80.6222,0.4778
Lp,77.8,77.5338,0.2662
Lp,78.3,77.5461,0.7539
Lp,77.9,77.5461,0.3539
Lp,78.0,77.5461,0.4539
Lp,77.7,77.4105,0.2895
Lp,77.9,77.5481,0.3519
Lp,77.6,77.5301,0.0699
Lp,77.7,77.5522,0.1478
Lp,77.9,77.5677,0.3323
Lp,77.9,77.5338,0.3662
Lp,78.0,77.5338,0.4662
Lp,78.1,77.7703,0.3297
Lp,77.9,77.5338,0.3662
Lp,78.1,77.5481,0.5519
Lp,78.4,78.0964,0.3036
Lp,77.9,77.541,0.359
Lp,78.0,77.5375,0.4625
Lp,78.1,77.5305,0.5695
Lp,78.2,77.5338,0.6662
Lp,78.1,78.0552,0.0448
Lp,77.8,77.5301,0.2699
Lp,77.9,78.0552,-0.1552
Lp,78.0,78.0552,-0.0552
Lp,78.4,78.0552,0.3448
Lp,78.1,78.0552,0.0448
Lp,78.0,77.5305,0.4695
Lp,78.2,77.4758,0.7242
Lp,78.0,77.5301,0.4699
Lp,78.0,77.8115,0.1885
Lp,77.6,77.5461,0.0539
Lp,77.8,78.0552,-0.2552
Lp,77.7,78.0552,-0.3552
Lp,77.5,77.5206,-0.0206
Lp,78.1,78.2661,-0.1661
Lp,78.7,78.7567,-0.0567
Lp,78.6,78.709,-0.109
Lp,78.0,78.2496,-0.2496
Lp,78.5,78.6187,-0.1187
Lp,78.5,78.2293,0.2707
Lp,78.0,78.2701,-0.2701
Lp,78.0,78.2701,-0.2701
Lp,77.9,78.2701,-0.3701
Lp,78.2,78.1453,0.0547
Lp,78.3,78.2682,0.0318
Lp,78.1,78.1453,-0.0453
Lp,79.0,78.7567,0.2433
Lp,79.9,79.2458,0.6542
Lp,78.5,78.2164,0.2836
Lp,77.8,78.2701,-0.4701
Lp,78.1,78.249,-0.149
Lp,79.1,78.7567,0.3433
Lp,77.9,78.2661,-0.3661
Lp,79.2,78.6187,0.5813
Lp,78.5,78.2164,0.2836
Lp,78.3,78.313,-0.013
Lp,79.2,78.7567,0.4433
Lp,78.0,78.2071,-0.2071
Lp,78.2,78.2463,-0.0463
Lp,78.0,78.2701,-0.2701
Lp,78.3,78.313,-0.013
Lp,79.2,78.6187,0.5813
Lp,78.8,78.2745,0.5255
Lp,78.2,78.2293,-0.0293
Lp,78.1,78.1453,-0.0453
Lp,78.2,78.227,-0.027
Lp,78.2,78.2701,-0.0701
Lp,79.0,79.141,-0.141
Lp,79.3,79.141,0.159
Lp,79.4,79.1423,0.2577
Lp,79.3,79.0958,0.2042
Lp,79.2,79.0958,0.1042
Lp,79.3,79.0952,0.2048
Lp,79.9,79.1262,0.7738
Lp,79.3,79.0959,0.2041
Lp,79.5,79.1421,0.3579
Lp,80.2,79.5141,0.6859
Lp,79.6,79.1485,0.4515
Lp,79.7,79.1262,0.5738
Lp,79.5,79.1262,0.3738
Lp,79.7,79.1485,0.5515
Lp,79.8,79.1262,0.6738
Lp,79.0,79.1262,-0.1262
Lp,78.8,79.1262,-0.3262
Lp,79.3,79.3273,-0.0273
Lp,79.0,79.1262,-0.1262
Lp,78.7,79.1277,-0.4277
Lp,78.8,79.0958,-0.2958
Lp,78.8,79.1432,-0.3432
Lp,79.0,79.1262,-0.1262
Lp,78.7,79.0958,-0.3958
Lp,78.7,79.0958,-0.3958
Lp,78.6,79.0952,-0.4952
Lp,78.6,79.1421,-0.5421
Lp,78.5,79.0959,-0.5959
Lp,78.8,79.1434,-0.3434
Lp,78.7,79.0646,-0.3646
Lp,78.8,79.1463,-0.3463
Lp,78.7,79.0959,-0.3959
Lp,78.7,79.0958,-0.3958
